,index_id,clarity,color,cut,price,city,carat
0,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,VS2,J,Premium,4268,Dubai,1.21
1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,VS2,H,Very Good,505,Kimberly,0.32
2,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,VS1,G,Fair,2686,Las Vegas,0.71
3,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,SI1,D,Good,738,Kimberly,0.41
4,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,SI1,G,Ideal,4882,Dubai,1.02
5,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,SI2,F,Ideal,9057,Tel Aviv,1.52
6,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,VS2,H,Fair,3733,Amsterdam,1.01
7,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,VS1,J,Ideal,8608,Kimberly,1.52
8,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,VS1,H,Ideal,557,Zurich,0.31
9,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,SI1,G,Ideal,6741,Antwerp,1.14
10,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,SI1,E,Premium,1040,Las Vegas,0.44
11,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,SI1,I,Premium,4284,Tel Aviv,1.02
12,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,SI2,I,Ideal,3101,Madrid,0.93
13,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,VS1,G,Premium,14507,Paris,1.51
14,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,SI2,H,Ideal,10349,Surat,1.65
15,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,SI2,G,Good,6006,Paris,1.5
16,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,VS1,D,Ideal,1207,Amsterdam,0.43
17,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,VS2,G,Premium,983,Surat,0.38
18,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,VS1,I,Ideal,3548,Luxembourg,0.85
19,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,SI2,D,Premium,11078,Tel Aviv,1.53
20,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,VS2,H,Premium,11177,Kimberly,1.54
21,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,SI2,G,Premium,1740,London,0.71
22,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,VS1,G,Very Good,605,Zurich,0.3
23,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,IF,G,Ideal,12932,Amsterdam,1.3
24,c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,SI1,G,Premium,574,Madrid,0.3
25,b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,SI2,I,Ideal,2873,London,1.0
26,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,VS2,G,Premium,6216,Antwerp,1.0
27,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,SI1,D,Premium,3568,New York City,0.9
28,59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,SI1,H,Very Good,7066,Antwerp,1.55
29,35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,SI2,H,Premium,3054,Antwerp,1.01
30,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,SI2,G,Premium,4969,Tel Aviv,1.16
31,eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,VVS1,H,Ideal,743,Amsterdam,0.35
32,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,VVS1,H,Ideal,6801,Zurich,0.97
33,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,SI2,E,Ideal,5717,Surat,1.19
34,86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,VS1,H,Very Good,2422,Kimberly,0.7
35,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953,SI1,H,Very Good,2553,Kimberly,0.8
36,76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,SI2,I,Premium,14208,Dubai,2.0
37,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,VS2,E,Very Good,2858,Antwerp,0.71
38,aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470,SI1,F,Premium,5292,Zurich,1.0
39,0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9,SI2,E,Ideal,1240,Surat,0.5
40,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,VVS2,G,Ideal,1875,Kimberly,0.51
41,3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9,SI2,G,Premium,3861,Kimberly,1.04
42,73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049,VVS2,G,Ideal,2587,Antwerp,0.64
43,44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a,VS2,E,Ideal,3648,Surat,0.8
44,71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6,SI1,D,Ideal,552,London,0.3
45,811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c,VS2,E,Premium,866,Kimberly,0.38
46,25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c,VS1,G,Ideal,625,Antwerp,0.31
47,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,SI1,H,Fair,3830,New York City,1.0
48,98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71,VS2,G,Ideal,3184,Surat,0.78
49,0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f,SI1,D,Very Good,5671,Zurich,1.0
50,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,VS1,H,Very Good,2399,New York City,0.7
51,031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa,SI1,F,Very Good,1688,Antwerp,0.64
52,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d,VS1,I,Ideal,513,Surat,0.31
53,2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529,VS2,G,Ideal,1549,London,0.52
54,2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,VS1,E,Ideal,1002,London,0.33
55,02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,VVS1,H,Very Good,878,Tel Aviv,0.3
56,7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,SI1,J,Good,3679,Luxembourg,1.0
